"Occupation Title","Occupation Code","Employment 2022","Employment 2032","Employment Change, 2022-2032","Employment Percent Change, 2022-2032","Occupational Openings, 2022-2032 Annual Average","Median Annual Wage 2022","Typical Entry-Level Education","Education Code","Work Experience in a Related Occupation","Workex Code","Typical on-the-job Training","trCode",Industry,At Risk
"Word processors and typists    * Clerk Typist* Dictaphone Typist* Statistical Typist* Transcription Typist* Typist* Word Processor","=""43-9022""","44.0","27.0","-17.0","-38.6","3.0","44,330","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Watch and clock repairers    * Antique Clock Repairer* Chronometer Repairer* Clock Repair Technician* Clockmaker* Clocksmith* Horologist* Time Piece Repairer* Watchmaker","=""49-9064""","2.1","1.4","-0.6","-29.8","0.1","48,370","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3",-,-1
"Roof bolters, mining    * Roof Bolter Operator* Roof Bolting Coal Miner* Underground Bolting Machine Operator* Underground Roof Bolter","=""47-5043""","1.8","1.3","-0.5","-28.5","0.1","60,210","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Cutters and trimmers, hand    * Fur Trimmer* Hand Cloth Cutter* Hand Fabric Cutter* Portable Machine Cutter","=""51-9031""","8.3","5.9","-2.3","-28.2","0.5","36,130","No formal educational credential","8","None","4","Short-term on-the-job training","5",-,-1
"Telephone operators    * 411 Directory Assistance Operator* Directory Assistance Operator* Information Operator* Local Telephone Operator* Long Distance Operator* Telephone Exchange Operator","=""43-2021""","4.1","3.0","-1.1","-26.6","0.4","38,330","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Data entry keyers    * Customs Entry Clerk* Data Entry Clerk* Data Input Clerk* Data Keyer* Data Processing Clerk* Data Typist* Key Punch Operator* Keypunch Operator* Keypuncher","=""43-9021""","165.6","122.5","-43.1","-26.0","12.3","36,190","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Switchboard operators, including answering service    * PBX Operator* Private Branch Exchange Operator* Telephone Answering Service Operator* Telephone Switchboard Operator","=""43-2011""","48.4","36.2","-12.1","-25.1","2.9","34,670","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Foundry mold and coremakers    * Airset Caster* Airset Molder* Core Stripper* Foundry Molder* Green Sand Molder* No Bake Molder* Sand Molder* Wax Pattern Coater","=""51-4071""","11.5","8.8","-2.7","-23.5","0.6","40,120","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Legal secretaries and administrative assistants    * Accredited Legal Secretary* Certified Legal Secretary Specialist* Law Secretary* Legal Administrative Assistant","=""43-6012""","161.4","126.2","-35.3","-21.8","12.7","48,780","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Pressers, textile, garment, and related materials    * Clothes Ironer* Clothes Presser* Clothing Presser* Garment Presser* Pants Presser* Shirt Presser* Silk Presser* Wool Presser","=""51-6021""","29.8","23.3","-6.5","-21.8","2.7","29,690","No formal educational credential","8","None","4","Short-term on-the-job training","5",-,-1
"Patternmakers, metal and plastic    * Metal Patternmaker","=""51-4062""","2.3","1.8","-0.5","-21.6","0.1","54,970","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Refractory materials repairers, except brickmasons    * Bondactor Machine Operator* Cupola Repairer* Kiln Door Builder* Ladle Repairer* Refractory Repairer","=""49-9045""","0.6","0.5","-0.1","-21.4","0.0","50,550","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Executive secretaries and executive administrative assistants    * Executive Assistant","=""43-6011""","511.1","403.0","-108.1","-21.1","35.6","65,980","High school diploma or equivalent","7","Less than 5 years","2","None","6",-,-1
"Manufactured building and mobile home installers    * Housetrailer Servicer* Mobile Home Mechanic* Mobile Home Servicer* Mobile Home Technician* Modular Home Crew Member","=""49-9095""","4.1","3.2","-0.9","-21.0","0.3","36,820","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Telemarketers    * Inbound Telemarketer* Outbound Telemarketer* Telemarketing Sales Representative* Telephone Solicitor* Telesales Representative* Telesales Specialist","=""41-9041""","97.7","77.6","-20.1","-20.6","9.8","31,030","No formal educational credential","8","None","4","Short-term on-the-job training","5",-,-1
"Grinding and polishing workers, hand    * Hand Buffer* Hand Sander* Jewelry Grinder* Jewelry Polisher* Knife Grinder* Ring Polisher","=""51-9022""","14.5","11.7","-2.8","-19.5","1.0","36,960","No formal educational credential","8","None","4","Moderate-term on-the-job training","4",-,-1
"Engine and other machine assemblers    * Aircraft Engine Assembler* Assembling Motor Builder* Clutch Housing Assembler* Engine Builder* Gas Turbine Assembler* Generator Assembler* Jet Engine Assembler* Machine Builder* Sewing Machine Assembler* Steam Turbine Assembler* Truck Transmission Assembler* Truck Transmission Builder","=""51-2031""","50.9","41.3","-9.6","-18.9","4.7","50,850","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Model makers, metal and plastic    * Metal Mockup Maker* Plastic Jig and Fixture Builder","=""51-4061""","3.4","2.8","-0.6","-18.8","0.2","57,620","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Timing device assemblers and adjusters    * Digital Watch Assembler* Electrical Timing Device Adjuster* Marine Chronometer Assembler* Time Stamp Assembler","=""51-2061""","0.4","0.3","-0.1","-18.7","0.0","42,290","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic    * Bore Mill Operator for Plastic* Boring Mill Operator for Metal* Drill Press Operator for Metal* Horizontal Boring Mill Operator for Metal* Radial Drill Operator for Plastic* Radial Drill Press Operator for Plastic* Reaming Machine Operator for Plastic","=""51-4032""","6.6","5.4","-1.2","-18.3","0.6","42,450","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Order clerks    * Catalogue Clerk* Classified Ad Clerk* Mail Order Clerk* Order Desk Clerk* Service Order Clerk* Subscription Clerk* Want Ad Clerk","=""43-4151""","132.8","108.6","-24.2","-18.2","11.2","38,060","Some college, no degree","6","None","4","Short-term on-the-job training","5",-,-1
"Floral designers    * Corsage Maker* Floral Arranger* Floral Artist* Floral Decorator* Florist* Florist Designer* Flower Arranger","=""27-1023""","54.5","44.7","-9.8","-18.0","4.7","33,160","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Electronic equipment installers and repairers, motor vehicles    * Auto Electrician* Auto Phone Installer* Auto Radio Mechanic* Automotive Electrician* Car Alarm Installer* Car Stereo Installer* GPS Car Navigation Installer* Mobile Electronics Installation Specialist","=""49-2096""","9.7","7.9","-1.7","-18.0","0.6","41,600","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",1,1
"Loading and moving machine operators, underground mining    * Coal Hauler Operator* Coke Loader* Joy Loader* Load Haul Dump Operator* Mine Shuttle Car Operator* Mobile Bridge Conveyor Operator","=""47-5044""","5.4","4.4","-1.0","-17.7","0.4","63,920","No formal educational credential","8","None","4","Short-term on-the-job training","5",-,-1
